customer_id,total_txns,amount_sent,amount_received,total_amount,customer_tier,ever_involved_in_fraud
C439737079,18,0.0,357440831.44,357440831.44,1,0
C707403537,17,0.0,299374418.42,299374418.42,1,0
C167875008,28,0.0,274736432.8,274736432.8,1,0
C20253152,20,0.0,270116188.69,270116188.69,1,0
C172409641,57,0.0,255310174.25,255310174.25,1,0
C268913927,35,0.0,253484588.1,253484588.1,1,0
C936857833,46,0.0,227780012.02,227780012.02,1,0
C65111466,22,0.0,227443845.85,227443845.85,1,1
C744189981,26,0.0,225173861.73,225173861.73,1,0
C1406193485,46,0.0,224778961.83,224778961.83,1,0
C310383504,17,0.0,223503958.9,223503958.9,1,0
C1774146551,53,0.0,213473723.06,213473723.06,1,0
C325534370,30,0.0,208595978.94,208595978.94,1,0
C1320946922,16,0.0,206026465.36,206026465.36,1,0
C2120613885,11,0.0,200164990.78,200164990.78,1,0
C60911281,11,0.0,178642347.28,178642347.28,1,0
C1789550256,99,0.0,177885264.6,177885264.6,1,0
C1087955840,21,0.0,177282997.54,177282997.54,1,0
C907499666,14,0.0,176571590.45,176571590.45,1,0
C294810721,17,0.0,175972189.41,175972189.41,1,0
