day_number,type,txn_count,total_amount,avg_amount,fraud_count,fraud_amount,fraud_rate_pct,prev_day_count,dod_pct_change,rolling_7d_avg,cumulative_txn_count
1,CASH_IN,124026,21238119433.1,171239.25,0,0.0,0.0,,,124026.0,124026.0
2,CASH_IN,99707,16815829535.36,168652.45,0,0.0,0.0,124026.0,-19.61,111866.5,223733.0
3,CASH_IN,137,23705176.78,173030.49,0,0.0,0.0,99707.0,-99.86,74623.33,223870.0
4,CASH_IN,4848,784294262.02,161776.87,0,0.0,0.0,137.0,3438.69,57179.5,228718.0
5,CASH_IN,1450,242178772.21,167019.84,0,0.0,0.0,4848.0,-70.09,46033.6,230168.0
6,CASH_IN,99972,17379844610.76,173847.12,0,0.0,0.0,1450.0,6794.62,55023.33,330140.0
7,CASH_IN,93735,15839130158.79,168977.76,0,0.0,0.0,99972.0,-6.24,60553.57,423875.0
8,CASH_IN,99924,16683139677.33,166958.29,0,0.0,0.0,93735.0,6.6,57110.43,523799.0
9,CASH_IN,89361,14255385478.59,159525.81,0,0.0,0.0,99924.0,-10.57,55632.43,613160.0
10,CASH_IN,85807,14692048873.3,171222.03,0,0.0,0.0,89361.0,-3.98,67871.0,698967.0
11,CASH_IN,91109,14978952974.81,164406.95,0,0.0,0.0,85807.0,6.18,80194.0,790076.0
12,CASH_IN,74454,11448513498.55,153766.27,0,0.0,0.0,91109.0,-18.28,90623.14,864530.0
13,CASH_IN,95840,16810218128.56,175398.77,0,0.0,0.0,74454.0,28.72,90032.86,960370.0
14,CASH_IN,87298,15310475051.39,175381.74,0,0.0,0.0,95840.0,-8.91,89113.29,1047668.0
15,CASH_IN,89636,15187645482.76,169436.89,0,0.0,0.0,87298.0,2.68,87643.57,1137304.0
16,CASH_IN,82591,14072988949.33,170393.73,0,0.0,0.0,89636.0,-7.86,86676.43,1219895.0
17,CASH_IN,93494,16180255844.05,173061.97,0,0.0,0.0,82591.0,13.2,87774.57,1313389.0
18,CASH_IN,5065,834857572.76,164828.74,0,0.0,0.0,93494.0,-94.58,75482.57,1318454.0
