day_number,type,name_orig,name_dest,amount,risk_score,is_fraud
18,TRANSFER,C689608084,C1392803603,10000000.0,1,1
31,TRANSFER,C2140038573,C1395467927,10000000.0,1,1
27,TRANSFER,C19004745,C1806199534,10000000.0,1,1
28,TRANSFER,C429282035,C1318460385,9996886.64,1,1
2,TRANSFER,C154757729,C1895716929,9977761.05,1,1
10,TRANSFER,C427148786,C1532977706,9960382.4,1,1
2,TRANSFER,C1548903046,C2065423383,9887819.06,1,1
11,TRANSFER,C1983750370,C381637925,9811104.49,1,1
15,TRANSFER,C417981063,C1176673721,9772559.35,1,1
30,TRANSFER,C1040320190,C598263954,9749042.95,1,1
17,TRANSFER,C2078773097,C775810552,9725837.08,1,1
20,TRANSFER,C1490771263,C486822956,9639524.7,1,1
6,TRANSFER,C167488694,C629818525,9639052.83,1,1
21,TRANSFER,C1050497545,C457890781,9593838.63,1,1
18,TRANSFER,C452586515,C1109166882,9585040.37,1,1
28,TRANSFER,C554608123,C532377290,9468064.05,1,1
2,TRANSFER,C851016578,C1650562969,9465988.82,1,1
9,TRANSFER,C1433301955,C929797843,9453680.72,1,1
24,TRANSFER,C476581036,C919579772,9421856.87,1,1
4,TRANSFER,C1453976647,C1454683123,9345700.07,1,1
21,TRANSFER,C149938639,C1918368485,9301213.46,1,1
15,TRANSFER,C350993487,C1614280501,9299230.13,1,1
29,TRANSFER,C1216463302,C1920599052,9295454.24,1,1
19,TRANSFER,C920327149,C118210084,9228514.1,1,1
14,TRANSFER,C1256410677,C1153188048,9208368.83,1,1
14,TRANSFER,C1938563375,C1187100670,9198459.96,1,1
27,TRANSFER,C183711980,C987041812,9168747.51,1,1
17,TRANSFER,C1402670582,C1633747285,9110884.44,1,1
30,TRANSFER,C413853456,C949247454,9097679.75,1,1
17,TRANSFER,C1360689528,C1674473954,9060955.18,1,1
4,TRANSFER,C1074348771,C306278286,9039246.82,1,1
18,TRANSFER,C798979222,C1708698454,9033760.73,1,1
15,TRANSFER,C76442447,C684493652,8994286.69,1,1
22,TRANSFER,C1466563113,C1693955122,8991625.83,1,1
29,TRANSFER,C741504749,C1185320057,8980853.88,1,1
